,0,1,2,3
0,5.733 ,2.515 ,3.878 ,3.975 
1,6.111 ,0.774 ,3.455 ,3.505 
2,6.405 ,2.861 ,3.966 ,3.873 
3,-226.223 ,-480.649 ,-421.539 ,-447.093 
4,-20.668 ,-244.451 ,-98.212 ,-93.690 
5,32.873 ,1.546 ,9.287 ,3.348 
6,7.150 ,0.803 ,3.109 ,3.015 
7,29.755 ,18.277 ,23.892 ,23.961 
8,2.332 ,0.906 ,1.915 ,1.962 
9,5.534 ,4.399 ,4.834 ,4.815 
10,650.329 ,49.315 ,270.051 ,229.321 
11,44.354 ,3.579 ,26.233 ,26.345 
12,7.950 ,0.185 ,3.514 ,3.448 
13,30.922 ,21.351 ,26.054 ,26.386 
14,67.341 ,0.000 ,7.506 ,3.789 
15,3.203 ,1.144 ,2.587 ,2.628 
16,53.355 ,18.252 ,27.431 ,22.983 
17,13.011 ,4.428 ,6.909 ,6.594 
18,0.437 ,0.285 ,0.354 ,0.353 
19,0.179 ,0.054 ,0.100 ,0.091 
20,12.286 ,3.898 ,6.232 ,5.904 
